state_name,cds,cds_2010
Alabama,7,7
Alaska,1,1
Arizona,9,9
Arkansas,4,4
California,52,53
Colorado,8,7
Connecticut,5,5
Delaware,1,1
Florida,28,27
Georgia,14,14
Hawaii,2,2
Idaho,2,2
Illinois,17,18
Indiana,9,9
Iowa,4,4
Kansas,4,4
Kentucky,6,6
Louisiana,6,6
Maine,2,2
Maryland,8,8
Massachusetts,9,9
Michigan,13,14
Minnesota,8,8
Mississippi,4,4
Missouri,8,8
Montana,2,1
Nebraska,3,3
Nevada,4,4
New Hampshire,2,2
New Jersey,12,12
New Mexico,3,3
New York,26,27
North Carolina,14,13
North Dakota,1,1
Ohio,15,16
Oklahoma,5,5
Oregon,6,5
Pennsylvania,17,18
Rhode Island,2,2
South Carolina,7,7
South Dakota,1,1
Tennessee,9,9
Texas,38,36
Utah,4,4
Vermont,1,1
Virginia,11,11
Washington,10,10
West Virginia,2,3
Wisconsin,8,8
Wyoming,1,1
